Insert
VEB
Operations	Seconds	Comparisons
262144	0.02	21489596
524288	0.04	42979308
1048576	0.09	85958756
2097152	0.17	171917668
4194304	0.34	343835478
8388608	0.69	687671120
16777216	1.38	1375342396

bitsmart
Operations	Seconds	Comparisons
262144	0.01	6553312
524288	0.02	13106656
1048576	0.03	26213344
2097152	0.07	52426720
4194304	0.15	104853472
8388608	0.28	209706976
16777216	0.59	419413984

std::set
Operations	Seconds	Comparisons
262144	0.06	0
524288	0.15	0
1048576	0.36	0
2097152	0.82	0
4194304	1.86	0
8388608	4.11	0
16777216	8.91	0

Remove
VEB
Operations	Seconds	Comparisons
262144	0.02	7372172
524288	0.04	14744396
1048576	0.07	29488859
2097152	0.13	58977788
4194304	0.26	117955643
8388608	0.54	235911361
16777216	1.09	471822794

bitsmart
Operations	Seconds	Comparisons
262144	0	4734885
524288	0.02	9469803
1048576	0.04	18939635
2097152	0.08	37879299
4194304	0.16	75758627
8388608	0.31	151517283
16777216	0.59	303034595

std::set
Operations	Seconds	Comparisons
262144	0.03	0
524288	0.06	0
1048576	0.14	0
2097152	0.33	0
4194304	0.77	0
8388608	1.68	0
16777216	3.56	0

Predecessor
VEB
Operations	Seconds	Comparisons
262144	0.02	6546025
524288	0.02	13075847
1048576	0.04	26154079
2097152	0.09	52299653
4194304	0.18	104617290
8388608	0.35	209187660
16777216	0.71	418373223

bitsmart
Operations	Seconds	Comparisons
262144	0.01	3856983
524288	0.01	7709550
1048576	0.02	15420440
2097152	0.05	30836034
4194304	0.1	61674409
8388608	0.21	123340153
16777216	0.41	246678184

std::set
Operations	Seconds	Comparisons
262144	0.02	0
524288	0.04	0
1048576	0.08	0
2097152	0.17	0
4194304	0.35	0
8388608	0.73	0
16777216	1.54	0

Interleaved
VEB
Operations	Seconds	Comparisons
262144	0.14	40170650
524288	0.31	80299070
1048576	0.68	160717326
2097152	1.48	321415302
4194304	3.17	642811829
8388608	6.7	1285385934
16777216	14.17	2570846279

bitsmart
Operations	Seconds	Comparisons
262144	0.05	16992890
524288	0.11	33979808
1048576	0.26	67964120
2097152	0.65	135931952
4194304	1.44	271864974
8388608	3.17	543713163
16777216	6.83	1087427957

std::set
Operations	Seconds	Comparisons
262144	0.15	0
524288	0.42	0
1048576	1.05	0
2097152	2.37	0
4194304	5.34	0
8388608	12.06	0
16777216	26.74	0
