Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"4500/test_pop/realtime",3.1235367468529187e-4,3.0283562570527237e-4,3.2383504647817175e-4,5.317022403788459e-5,4.629556328984807e-5,5.8903411763803035e-5
"4500/test_push/list",0.6080587329279131,0.6072312273393815,0.6095050110231583,5.4331113679410535e-3,3.6244799388989992e-3,8.717530689748693e-3
"4500/test_push/strict",2.518757828135989e-4,2.4676128965086337e-4,2.585105053988623e-4,2.9633169087257907e-5,2.422692912196046e-5,3.477936280925797e-5
"4500/test_push/lazy",6.194331357323015e-5,6.061950031421871e-5,6.384739280275491e-5,8.049551370201217e-6,6.048590643454532e-6,1.003510834098309e-5
"4500/test_push/realtime",2.3897511066785508e-4,2.3460954727521583e-4,2.450864941059654e-4,2.6204497619334727e-5,2.0276916767113857e-5,3.252551035126909e-5
"4500/test_repeated_push_pop/list",0.1651676787744707,0.16475701946126886,0.1658480586420244,2.6377061056272245e-3,1.8351034213593676e-3,3.9030495398828737e-3
"4500/test_repeated_push_pop/strict",7.284944433080616e-2,7.236385005819264e-2,7.382264989721242e-2,3.4097294640306136e-3,1.9880263900157315e-3,5.6493288321172565e-3
"4500/test_repeated_push_pop/lazy",1.1812570152845295e-4,1.1483545701725735e-4,1.2231328545179277e-4,1.88579940929982e-5,1.5538948745563963e-5,2.1838236730586245e-5
"4500/test_repeated_push_pop/realtime",2.1919186801591455e-4,2.1456416339555318e-4,2.256252401602604e-4,2.7822135127897433e-5,2.165411178584354e-5,3.3977854795394423e-5
"5000/test_pop_push/list",0.20322944539892132,0.20293084281789722,0.20380227941381399,2.040913408315105e-3,1.3013063514514898e-3,3.506329358716782e-3
"5000/test_pop_push/strict",5.232180190513385e-4,5.135232520530473e-4,5.366945815513384e-4,5.812895315660033e-5,4.44336954483653e-5,7.192424726637357e-5
"5000/test_pop_push/lazy",1.985306731070249e-4,1.9408946875130106e-4,2.045543718853197e-4,2.635286152259477e-5,2.0779770504235883e-5,3.1752611876126044e-5
"5000/test_pop_push/realtime",4.7891983945703157e-4,4.6856064049824616e-4,4.934359987972192e-4,6.249458171503666e-5,4.854310022542465e-5,7.65680025655287e-5
"5000/test_pop/list",1.1596578466358474e-4,1.1462587224903393e-4,1.1831897603931713e-4,8.876931176692216e-6,5.651599877806654e-6,1.259576086165758e-5
"5000/test_pop/strict",3.774342369621815e-4,3.6908548887429847e-4,3.8847450729070324e-4,4.901782067948406e-5,3.9496901805351195e-5,5.799824096486271e-5
"5000/test_pop/lazy",1.3576937171586766e-4,1.332791793845741e-4,1.39220929285474e-4,1.4965741503712025e-5,1.1340534281396851e-5,1.8639814363203383e-5
"5000/test_pop/realtime",2.5489688286721744e-4,2.494964101094499e-4,2.6240444063886143e-4,3.230029281266936e-5,2.480070332927327e-5,3.966857737238991e-5
"5000/test_push/list",0.6872715200792496,0.6866906036745254,0.6882454003702352,3.7636501453810036e-3,2.5257841006359623e-3,5.560074977238114e-3
