Binary Insert
Operations	Seconds	Comparisons
5000000   	0.8  	106611416
10000000   	1.47  	223222809
15000000   	2.18  	343222809
20000000   	2.75  	466445594
25000000   	3.39  	591445594
30000000   	4.2  	716445594
35000000   	4.82  	842891163

Fibonacci Insert
Operations	Seconds	Comparisons
5000000   	0.24  	5000000
10000000   	0.47  	10000000
15000000   	0.7  	15000000
20000000   	0.92  	20000000
25000000   	1.23  	25000000
30000000   	1.61  	30000000
35000000   	1.85  	35000000

Binary Deletemin
Operations	Seconds	Comparisons
5000000   	0.69  	198222832
10000000   	1.48  	416445618
15000000   	2.36  	641445618
20000000   	3.23  	872891188
25000000   	4.3  	1107891188
30000000   	5.31  	1342891188
35000000   	6.32  	1580782326

Fibonacci Deletemin
Operations	Seconds	Comparisons
5000000   	2.43  	93013401
10000000   	4.3  	201026778
15000000   	7.92  	298344442
20000000   	9.58  	432053531
25000000   	12.77  	482749115
30000000   	14.22  	641688859
35000000   	15.73  	724769148

Binary Decreasekey
Operations	Seconds	Comparisons
5000000   	2.4  	553057007
10000000   	4.9  	1156113968
15000000   	7.62  	1776113965
20000000   	10.04  	2412227889
25000000   	12.43  	3057227886
30000000   	15.62  	3702227886
35000000   	18.14  	4354455731

Fibonacci DecreaseKey
Operations	Seconds	Comparisons
5000000   	0.21  	5000000
10000000   	0.43  	10000000
15000000   	0.64  	15000000
20000000   	0.86  	20000000
25000000   	1.05  	25000000
30000000   	1.27  	30000000
35000000   	1.48  	35000000

