Binary Insert
Operations	Seconds
4375000   	0.51
8750000   	1.04
17500000   	2.14
35000000   	4.44

Fibonacci Insert
Operations	Seconds
4375000   	0.2
8750000   	0.37
17500000   	0.76
35000000   	1.64

Binary Deletemin
Operations	Seconds
4375000   	0.57
8750000   	1.27
17500000   	2.67
35000000   	5.9

Fibonacci Deletemin
Operations	Seconds
4375000   	1.8
8750000   	3.03
17500000   	6.54
35000000   	14.71

Binary Decreasekey
Operations	Seconds
4375000   	1.99
8750000   	4.04
17500000   	8.36
35000000   	17.14

Fibonacci DecreaseKey
Operations	Seconds
4375000   	0.18
8750000   	0.35
17500000   	0.7
35000000   	1.4

