Binary Insert
Operations	Seconds
2187500   	0.26
4375000   	0.52
8750000   	1.04
17500000   	2.15
35000000   	4.42

Fibonacci Insert
Operations	Seconds
2187500   	0.1
4375000   	0.18
8750000   	0.39
17500000   	0.76
35000000   	1.56

Binary Deletemin
Operations	Seconds
2187500   	0.27
4375000   	0.58
8750000   	1.23
17500000   	2.65
35000000   	5.86

Fibonacci Deletemin
Operations	Seconds
2187500   	0.65
4375000   	1.84
8750000   	3.02
17500000   	6.52
35000000   	14.84

Binary Decreasekey
Operations	Seconds
2187500   	0.97
4375000   	1.99
8750000   	4.2
17500000   	8.53
35000000   	17.47

Fibonacci DecreaseKey
Operations	Seconds
2187500   	0.09
4375000   	0.19
8750000   	0.37
17500000   	0.71
35000000   	1.46

